Booking.com : Hotels in Nafplio . Book your hotel now!
Name: Nafplia Palace Hotel & Villas, Stars: 5, Reviews Score: 8.1, Price: 
Name: Ilion Hotel, Stars: 4, Reviews Score: 9.1, Price: 
Name: Anthemion Suites and Villas, Stars: 0, Reviews Score: 9.4, Price: 
Name: 3 Sixty Hotel & Suites, Stars: 4, Reviews Score: 9.5, Price: 
Name: Hotel Ippoliti, Stars: 4, Reviews Score: 9.1, Price: 
Name: Agamemnon Hotel, Stars: 3, Reviews Score: 8.8, Price: 
Name: Latini Family Hotel, Stars: 3, Reviews Score: 7.8, Price: 
Name: Carpe Diem Boutique Hotel, Stars: 3, Reviews Score: 9.3, Price: 
Name: Castellano Hotel & Suites, Stars: 4, Reviews Score: 9.5, Price: 
Name: Acronafplia Pension A, Stars: 3, Reviews Score: 9.2, Price: 
Name: Grand Sarai Nafplio, Stars: 4, Reviews Score: 9.1, Price: 
Name: Avra Nafpliou, Stars: 3, Reviews Score: 8.9, Price: 
Name: Marianna, Stars: 0, Reviews Score: 9.4, Price: 
Name: Pension Dafni, Stars: 4, Reviews Score: 9.4, Price: 
Name: Amymone and Adiandi, Stars: 0, Reviews Score: 9.2, Price: 
Name: Rex Hotel, Stars: 3, Reviews Score: 8.4, Price: 
Name: Omorfi Poli, Stars: 3, Reviews Score: 9.5, Price: 
Name: Amphitryon Hotel, Stars: 5, Reviews Score: 8.0, Price: 
Name: Leto Nuevo Hotel, Stars: 0, Reviews Score: 9.0, Price: 
Name: Nafplion 1841, Stars: 3, Reviews Score: 9.6, Price: 
Name: Nafsimedon Hotel, Stars: 0, Reviews Score: 9.3, Price: 
Name: Aetoma Hotel, Stars: 4, Reviews Score: 9.8, Price: 
Name: Polyxenia Hotel, Stars: 4, Reviews Score: 8.3, Price: 
Name: Grande Bretagne - Nafplio, Stars: 4, Reviews Score: 8.7, Price: 
Name: Argolis Hotel, Stars: 1, Reviews Score: 8.0, Price: 
