Travelocity.com
Name: Avra Nafpliou, Stars: 3.5 out of 5, Reviews Score: 5.0/5, Price: $76
Name: Amymone and Adiandi, Stars: 3 out of 5, Reviews Score: 4.6/5, Price: $83
Name: Grande Bretagne, Stars: 4 out of 5, Reviews Score: 4.4/5, Price: $85
Name: , Stars: , Reviews Score: , Price: 
Name: Leto Nuevo Hotel, Stars: 3 out of 5, Reviews Score: 4.7/5, Price: $49
Name: Rigas Pension, Stars: 3 out of 5, Reviews Score: 4.7/5, Price: $57
Name: G & K Hotel Fiore Di Candia, Stars: 3.5 out of 5, Reviews Score: , Price: $76
Name: Grand Sarai Nafplio, Stars: 4 out of 5, Reviews Score: 4.6/5, Price: $71
Name: Castellano Hotel & Suites, Stars: 3.5 out of 5, Reviews Score: , Price: $139
Name: Rex Hotel, Stars: 3 out of 5, Reviews Score: 4.4/5, Price: $48
Name: Leone Guesthouse, Stars: 3.5 out of 5, Reviews Score: 5.0/5, Price: $72
Name: 999 Luxury Hotel, Stars: 3.5 out of 5, Reviews Score: 4.5/5, Price: $46
Name: , Stars: , Reviews Score: , Price: 
Name: Carpe Diem Boutique Hotel, Stars: 3.5 out of 5, Reviews Score: 5.0/5, Price: $69
Name: Pension Dafni, Stars: 4 out of 5, Reviews Score: 4.7/5, Price: $47
Name: 3Sixty Hotel & Suites, Stars: 4 out of 5, Reviews Score: 4.9/5, Price: $158
Name: Ammos, Stars: 4 out of 5, Reviews Score: 3.0/5, Price: $1,041
Name: Xenon Inn, Stars: 4 out of 5, Reviews Score: 4.4/5, Price: $78
Name: Aphroditi Pension, Stars: 4 out of 5, Reviews Score: 4.8/5, Price: $78
Name: Anapli Pension, Stars: 2 out of 5, Reviews Score: 5.0/5, Price: $42
Name: Anthemion Suites & Villas, Stars: 3 out of 5, Reviews Score: 4.9/5, Price: $89
